employee_name,join_date,salary
Employee_1,2025-10-23,16228.0
Employee_23,2025-10-31,12809.0
Employee_25,2025-10-26,24315.0
Employee_49,2025-10-28,13863.0
Employee_52,2025-11-07,13023.0
Employee_57,2025-10-31,18804.0
Employee_58,2025-10-20,9940.0
Employee_66,2025-11-12,12022.0
Employee_5,2025-11-10,24773.0
Employee_14,2025-11-02,17705.0
Employee_16,2025-10-27,14640.0
Employee_22,2025-10-30,20479.0
Employee_45,2025-11-15,17566.0
Employee_47,2025-11-03,23878.0
Employee_59,2025-11-06,20924.0
Employee_62,2025-11-04,6118.0
Employee_67,2025-11-06,16430.0
Employee_73,2025-11-02,19433.0
Employee_86,2025-10-17,23464.0
Employee_88,2025-11-12,7094.0
Employee_92,2025-10-31,9817.0
Employee_99,2025-11-03,16444.0
