employee_name,join_date,salary
Employee_1,2025-10-23,16228.0
Employee_2,2025-09-13,17221.0
Employee_3,2025-06-13,11033.0
Employee_4,2025-06-13,12235.0
Employee_5,2025-06-10,10581.0
Employee_6,2025-02-11,20863.0
Employee_8,2025-06-18,11823.0
Employee_9,2025-03-11,13585.0
Employee_10,2025-05-03,15557.0
Employee_12,2025-06-28,24429.0
Employee_13,2025-08-06,16541.0
Employee_14,2025-08-13,23749.0
Employee_16,2025-03-06,16576.0
Employee_17,2025-02-24,12632.0
Employee_18,2025-05-14,23574.0
Employee_21,2025-04-30,11292.0
Employee_22,2025-05-16,19515.0
Employee_23,2025-10-31,12809.0
Employee_24,2025-02-11,15872.0
Employee_25,2025-10-26,24315.0
Employee_26,2025-03-06,24864.0
Employee_27,2025-08-11,21474.0
Employee_28,2025-02-25,23509.0
Employee_29,2025-09-04,19396.0
Employee_30,2025-03-03,19513.0
Employee_32,2025-03-07,23629.0
Employee_35,2025-02-01,20983.0
Employee_37,2025-09-23,19144.0
Employee_40,2025-02-12,17991.0
Employee_43,2025-02-16,20616.0
Employee_45,2025-03-22,11482.0
Employee_46,2025-05-24,19203.0
Employee_47,2025-04-28,23187.0
Employee_48,2025-06-22,11051.0
Employee_49,2025-10-28,13863.0
Employee_50,2025-07-25,11851.0
Employee_52,2025-11-07,13023.0
Employee_53,2025-05-24,21870.0
Employee_54,2025-05-04,17501.0
Employee_55,2025-09-11,18389.0
Employee_56,2025-09-20,17113.0
Employee_57,2025-10-31,18804.0
Employee_59,2025-07-24,19139.0
Employee_60,2025-09-12,24738.0
Employee_61,2025-08-18,20181.0
Employee_62,2025-07-20,23031.0
Employee_63,2025-05-16,16521.0
Employee_64,2025-03-03,14350.0
Employee_66,2025-11-12,12022.0
Employee_68,2025-03-23,14201.0
Employee_69,2025-05-17,19714.0
Employee_70,2025-07-09,18921.0
Employee_71,2025-01-25,12200.0
Employee_72,2025-07-27,18889.0
Employee_73,2025-06-30,12970.0
Employee_74,2025-04-01,18998.0
Employee_75,2025-06-11,23080.0
Employee_76,2025-08-12,11601.0
Employee_77,2025-03-20,20231.0
Employee_78,2025-09-17,13706.0
Employee_79,2025-09-17,21677.0
Employee_80,2025-08-12,22473.0
Employee_81,2025-02-14,20953.0
Employee_82,2025-03-08,20220.0
Employee_84,2025-02-06,22649.0
Employee_85,2025-03-27,18040.0
Employee_86,2025-03-10,17678.0
Employee_87,2025-05-27,18483.0
Employee_88,2025-02-17,23597.0
Employee_89,2025-02-17,19864.0
Employee_92,2025-02-06,14175.0
Employee_93,2025-03-23,24326.0
Employee_94,2025-01-21,16974.0
Employee_95,2025-03-13,11220.0
Employee_96,2025-04-07,10641.0
Employee_97,2025-07-05,17993.0
Employee_98,2025-07-18,10449.0
Employee_99,2025-08-23,21725.0
Employee_100,2025-06-14,11314.0
Employee_1,2025-03-22,16481.0
Employee_3,2025-07-23,18751.0
Employee_4,2025-06-06,22745.0
Employee_5,2025-11-10,24773.0
Employee_6,2025-07-13,15553.0
Employee_9,2025-07-05,22469.0
Employee_10,2025-05-29,18845.0
Employee_11,2025-09-17,13546.0
Employee_12,2025-04-15,16272.0
Employee_13,2025-02-25,14496.0
Employee_14,2025-11-02,17705.0
Employee_15,2025-01-28,16860.0
Employee_16,2025-10-27,14640.0
Employee_17,2025-01-31,24527.0
Employee_18,2025-02-19,15967.0
Employee_19,2025-07-27,12831.0
Employee_20,2025-10-03,12878.0
Employee_21,2025-01-26,20835.0
Employee_22,2025-10-30,20479.0
Employee_24,2025-09-24,19656.0
Employee_29,2025-05-28,11495.0
Employee_32,2025-10-11,20421.0
Employee_33,2025-08-14,16414.0
Employee_34,2025-09-26,22011.0
Employee_35,2025-07-13,20687.0
Employee_36,2025-09-07,24089.0
Employee_37,2025-06-07,16679.0
Employee_39,2025-09-11,16733.0
Employee_41,2025-07-03,23160.0
Employee_42,2025-02-11,23538.0
Employee_43,2025-08-30,15407.0
Employee_44,2025-09-20,22835.0
Employee_45,2025-11-15,17566.0
Employee_46,2025-05-13,11589.0
Employee_47,2025-11-03,23878.0
Employee_48,2025-04-24,20263.0
Employee_51,2025-03-22,15490.0
Employee_54,2025-05-17,14114.0
Employee_56,2025-09-12,14905.0
Employee_58,2025-02-05,10653.0
Employee_59,2025-11-06,20924.0
Employee_60,2025-10-07,10561.0
Employee_63,2025-09-24,16886.0
Employee_65,2025-02-12,12016.0
Employee_66,2025-05-12,24590.0
Employee_67,2025-11-06,16430.0
Employee_71,2025-03-01,21857.0
Employee_72,2025-04-11,23808.0
Employee_73,2025-11-02,19433.0
Employee_74,2025-01-22,13614.0
Employee_76,2025-04-24,23911.0
Employee_77,2025-05-03,12110.0
Employee_78,2025-09-04,20058.0
Employee_82,2025-08-07,20333.0
Employee_83,2025-05-28,16517.0
Employee_86,2025-10-17,23464.0
Employee_87,2025-07-07,16363.0
Employee_90,2025-09-30,11672.0
Employee_91,2025-04-08,10703.0
Employee_93,2025-01-23,21326.0
Employee_94,2025-03-15,18101.0
Employee_95,2025-02-14,20014.0
Employee_96,2025-07-17,13667.0
Employee_97,2025-08-19,22008.0
Employee_98,2025-01-21,19071.0
Employee_99,2025-11-03,16444.0
Employee_100,2025-06-27,14291.0
